439023483,"The Hunger Games (The Hunger Games, #1)"
439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
316015849,"Twilight (Twilight, #1)"
61120081,"To Kill a Mockingbird"
743273567,"The Great Gatsby"
525478817,"The Fault in Our Stars"
618260307,"The Hobbit"
316769177,"The Catcher in the Rye"
1416524797,"Angels & Demons  (Robert Langdon, #1)"
679783261,"Pride and Prejudice"
1594480001,"The Kite Runner"
62024035,"Divergent (Divergent, #1)"
451524934,1984
452284244,"Animal Farm"
553296981,"The Diary of a Young Girl"
307269752,"The Girl with the Dragon Tattoo (Millennium, #1)"
439023491,"Catching Fire (The Hunger Games, #2)"
043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
618346252,"The Fellowship of the Ring (The Lord of the Rings, #1)"
439023513,"Mockingjay (The Hunger Games, #3)"
439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
316166685,"The Lovely Bones"
439064864,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
439139600,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
545010225,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
307277674,"The Da Vinci Code (Robert Langdon, #2)"
439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
140283331,"Lord of the Flies"
743477111,"Romeo and Juliet"
297859382,"Gone Girl"
399155341,"The Help"
142000671,"Of Mice and Men"
739326228,"Memoirs of a Geisha"
1612130291,"Fifty Shades of Grey (Fifty Shades, #1)"
61122416,"The Alchemist"
385732554,"The Giver (The Giver, #1)"
60764899,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
965818675,"The Time Traveler's Wife"
553588486,"A Game of Thrones (A Song of Ice and Fire, #1)"
143038419,"Eat, Pray, Love"
786838655,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
451529308,"Little Women (Little Women, #1)"
142437204,"Jane Eyre"
553816713,"The Notebook (The Notebook, #1)"
770430074,"Life of Pi"
1565125606,"Water for Elephants"
375831002,"The Book Thief"
307347974,"Fahrenheit 451"
316160199,"New Moon (Twilight, #2)"
60513039,"Where the Sidewalk Ends"
1416914285,"City of Bones (The Mortal Instruments, #1)"
316160202,"Eclipse (Twilight, #3)"
375826696,"Eragon (The Inheritance Cycle, #1)"
345391802,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
60929871,"Brave New World"
031606792X,"Breaking Dawn (Twilight, #4)"
142001740,"The Secret Life of Bees"
142437174,"The Adventures of Huckleberry Finn"
64410935,"Charlotte's Web"
1400032717,"The Curious Incident of the Dog in the Night-Time"
1594633665,"The Girl on the Train"
679879242,"The Golden Compass (His Dark Materials, #1)"
393978893,"Wuthering Heights"
743454537,"My Sister's Keeper"
385333846,Slaughterhouse-Five
446675539,"Gone with the Wind"
1594489505,"A Thousand Splendid Suns"
671027344,"The Perks of Being a Wallflower"
7442912,"Insurgent (Divergent, #2)"
812550706,"Ender's Game (Ender's Saga, #1)"
141439475,Frankenstein
450040186,"The Shining (The Shining #1)"
316068047,"The Host (The Host, #1)"
142402516,"Looking for Alaska"
014028009X,"Bridget Jones's Diary (Bridget Jones, #1)"
141439661,"Sense and Sensibility"
439244196,"Holes (Holes, #1)"
307275558,"The Devil Wears Prada (The Devil Wears Prada, #1)"
143039954,"The Odyssey"
156012197,"The Little Prince"
074324754X,"The Glass Castle"
385486804,"Into the Wild"
141439602,"A Tale of Two Cities"
030734813X,"Jurassic Park (Jurassic Park, #1)"
60256656,"The Giving Tree"
385338600,"A Time to Kill"
374500010,"Night (The Night Trilogy #1)"
014241493X,"Paper Towns"
345418263,"The Princess Bride "
014038572X,"The Outsiders"
385737947,"The Maze Runner (Maze Runner, #1)"
61234001,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
517189607,"The Secret Garden"
60531045,"One Hundred Years of Solitude"
375751513,"The Picture of Dorian Gray"
345803507,"Fifty Shades Freed (Fifty Shades, #3)"
393970124,Dracula
307269981,"The Girl Who Played with Fire (Millennium, #2)"
1612130585,"Fifty Shades Darker (Fifty Shades, #2)"
